departamento_residencia,provincia_residencia,anio_min,evento,grupo_etario,sepi_min,cantidad
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,9,5
COMUNA 4,CABA,2024,Dengue,Neonato (hasta 28 días),13,1
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,17,20
COMUNA 4,CABA,2024,Dengue,Mayores de 65 años,16,8
COMUNA 4,CABA,2024,Dengue,De 2 a 4 años,14,2
COMUNA 4,CABA,2024,Dengue,De 2 a 4 años,18,1
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,17,5
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,2,1
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,5,1
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,7,3
COMUNA 4,CABA,2024,Dengue,De 10 a 14 años,19,2
COMUNA 4,CABA,2024,Dengue,De 20 a 24 años,10,18
COMUNA 4,CABA,2024,Dengue,De 25 a 34 años,4,2
COMUNA 5,CABA,2024,Dengue,De 35 a 44 años,16,8
COMUNA 5,CABA,2024,Dengue,De 35 a 44 años,7,3
COMUNA 5,CABA,2024,Dengue,De 45 a 65 años,5,2
COMUNA 5,CABA,2024,Dengue,De 45 a 65 años,6,1
COMUNA 5,CABA,2024,Dengue,Mayores de 65 años,16,3
COMUNA 5,CABA,2024,Dengue,Mayores de 65 años,17,4
COMUNA 5,CABA,2024,Dengue,De 5 a 9 años,6,1
COMUNA 5,CABA,2024,Dengue,De 10 a 14 años,12,10
COMUNA 5,CABA,2024,Dengue,De 10 a 14 años,18,1
COMUNA 5,CABA,2024,Dengue,De 20 a 24 años,8,3
COMUNA 5,CABA,2024,Dengue,De 25 a 34 años,13,24
COMUNA 6,CABA,2024,Dengue,De 45 a 65 años,7,5
COMUNA 6,CABA,2024,Dengue,Mayores de 65 años,16,5
COMUNA 6,CABA,2024,Dengue,Mayores de 65 años,7,2
COMUNA 6,CABA,2024,Dengue,De 10 a 14 años,14,4
COMUNA 6,CABA,2024,Dengue,De 10 a 14 años,18,1
COMUNA 6,CABA,2024,Dengue,De 15 a 19 años,13,10
COMUNA 6,CABA,2024,Dengue,De 15 a 19 años,6,1
COMUNA 6,CABA,2024,Dengue,De 20 a 24 años,1,1
COMUNA 7,CABA,2024,Dengue,De 35 a 44 años,4,1
COMUNA 7,CABA,2024,Dengue,De 45 a 65 años,13,25
COMUNA 7,CABA,2024,Dengue,De 45 a 65 años,6,3
COMUNA 7,CABA,2024,Dengue,Mayores de 65 años,17,2
COMUNA 7,CABA,2024,Dengue,Mayores de 65 años,7,4
COMUNA 7,CABA,2024,Dengue,Posneonato (29 hasta 365 días),17,1
COMUNA 7,CABA,2024,Dengue,De 2 a 4 años,12,1
COMUNA 7,CABA,2024,Dengue,De 5 a 9 años,17,3
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,14,8
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,9,7
COMUNA 2,CABA,2024,Dengue,Mayores de 65 años,13,6
COMUNA 2,CABA,2024,Dengue,De 5 a 9 años,13,1
COMUNA 2,CABA,2024,Dengue,De 20 a 24 años,11,2
COMUNA 2,CABA,2024,Dengue,De 20 a 24 años,9,1
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,24,1
COMUNA 3,CABA,2024,Dengue,De 35 a 44 años,2,1
COMUNA 3,CABA,2024,Dengue,De 35 a 44 años,3,2
COMUNA 3,CABA,2024,Dengue,De 45 a 65 años,20,3
COMUNA 3,CABA,2024,Dengue,Mayores de 65 años,1,1
COMUNA 3,CABA,2024,Dengue,Mayores de 65 años,14,9
COMUNA 3,CABA,2024,Dengue,De 5 a 9 años,9,5
COMUNA 3,CABA,2024,Dengue,De 10 a 14 años,10,9
COMUNA 3,CABA,2024,Dengue,De 10 a 14 años,8,1
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,16,7
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,17,7
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,22,1
COMUNA 3,CABA,2024,Dengue,De 25 a 34 años,2,3
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,10,23
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,11,37
COMUNA 4,CABA,2024,Dengue,De 45 a 65 años,12,50
COMUNA 4,CABA,2024,Dengue,De 45 a 65 años,9,24
COMUNA 4,CABA,2024,Dengue,Mayores de 65 años,11,8
COMUNA 4,CABA,2024,Dengue,De 2 a 4 años,6,1
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,10,6
COMUNA 4,CABA,2024,Dengue,De 5 a 9 años,11,16
COMUNA 4,CABA,2024,Dengue,De 15 a 19 años,18,5
COMUNA 4,CABA,2024,Dengue,De 20 a 24 años,20,3
COMUNA 4,CABA,2024,Dengue,De 25 a 34 años,9,19
COMUNA 5,CABA,2024,Dengue,Mayores de 65 años,11,8
COMUNA 5,CABA,2024,Dengue,De 5 a 9 años,10,3
COMUNA 5,CABA,2024,Dengue,De 10 a 14 años,13,6
COMUNA 5,CABA,2024,Dengue,De 20 a 24 años,14,6
COMUNA 5,CABA,2024,Dengue,De 20 a 24 años,18,3
COMUNA 5,CABA,2024,Dengue,De 25 a 34 años,18,3
COMUNA 5,CABA,2024,Dengue,De 25 a 34 años,19,3
COMUNA 5,CABA,2024,Dengue,De 25 a 34 años,9,7
COMUNA 6,CABA,2024,Dengue,De 35 a 44 años,10,20
COMUNA 6,CABA,2024,Dengue,De 45 a 65 años,14,27
COMUNA 6,CABA,2024,Dengue,Mayores de 65 años,10,7
COMUNA 6,CABA,2024,Dengue,De 20 a 24 años,15,5
COMUNA 6,CABA,2024,Dengue,De 25 a 34 años,9,1
COMUNA 7,CABA,2024,Dengue,De 35 a 44 años,10,13
COMUNA 7,CABA,2024,Dengue,De 35 a 44 años,9,13
COMUNA 7,CABA,2024,Dengue,Mayores de 65 años,12,9
COMUNA 7,CABA,2024,Dengue,Mayores de 65 años,8,6
COMUNA 7,CABA,2024,Dengue,De 13 a 24 meses,15,1
COMUNA 7,CABA,2024,Dengue,De 5 a 9 años,10,3
COMUNA 7,CABA,2024,Dengue,De 5 a 9 años,11,5
COMUNA 7,CABA,2024,Dengue,De 5 a 9 años,8,1
COMUNA 7,CABA,2024,Dengue,De 10 a 14 años,13,5
COMUNA 7,CABA,2024,Dengue,De 15 a 19 años,18,1
COMUNA 7,CABA,2024,Dengue,De 15 a 19 años,9,9
COMUNA 7,CABA,2024,Dengue,De 20 a 24 años,17,2
COMUNA 7,CABA,2024,Dengue,De 20 a 24 años,20,1
COMUNA 7,CABA,2024,Dengue,De 25 a 34 años,14,21
COMUNA 7,CABA,2024,Dengue,De 25 a 34 años,15,12
COMUNA 7,CABA,2024,Dengue,De 25 a 34 años,18,3
COMUNA 8,CABA,2024,Dengue,De 35 a 44 años,16,10
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,6,10
COMUNA 7,CABA,2024,Dengue,De 25 a 34 años,1,2
COMUNA 7,CABA,2024,Dengue,De 25 a 34 años,11,17
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,14,14
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,15,22
COMUNA 8,CABA,2024,Dengue,De 45 a 65 años,19,1
COMUNA 8,CABA,2024,Dengue,Mayores de 65 años,14,6
COMUNA 8,CABA,2024,Dengue,Mayores de 65 años,9,6
COMUNA 8,CABA,2024,Dengue,De 5 a 9 años,1,1
COMUNA 8,CABA,2024,Dengue,De 5 a 9 años,12,9
COMUNA 8,CABA,2024,Dengue,De 5 a 9 años,14,7
COMUNA 8,CABA,2024,Dengue,De 5 a 9 años,15,4
COMUNA 8,CABA,2024,Dengue,De 10 a 14 años,10,15
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,14,11
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,15,8
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,16,6
COMUNA 8,CABA,2024,Dengue,De 15 a 19 años,20,1
